ID,name,count,CoCh,HoRatio,InchoRatio,PerTra,InPerTra
002087,新野纺织,1,1,0.46,0.46,0.46,0.46
300002,神州泰岳,1,0,1.19,0.12,1.19,0.12
002039,黔源电力,1,-1,3.00,-1.19,3.00,-1.19
002683,广东宏大,1,1,0.81,0.81,0.81,0.81
301161,唯万密封,1,1,0.14,0.14,0.57,0.57
300223,北京君正,1,0,3.79,0.14,3.82,0.14
301150,中一科技,1,0,0.12,-0.03,0.58,-0.15
603565,中谷物流,1,-1,0.69,-1.34,2.27,-4.36
300106,西部牧业,1,1,0.21,0.21,0.21,0.21
301025,读客文化,1,0,0.13,0.01,0.45,-0.73
300967,晓鸣股份,1,0,0.30,0.00,0.54,0.02
002860,星帅尔,1,0,0.55,-0.29,0.56,-0.31
300401,花园生物,1,0,1.85,0.99,1.85,0.99
300585,奥联电子,1,1,0.51,0.51,0.54,0.54
002896,中大力德,1,0,0.47,-1.80,0.47,-1.80
000753,漳州发展,1,0,0.46,-0.15,0.46,-0.15
000533,顺钠股份,1,0,0.34,-0.13,0.34,-0.13
600436,片仔癀,1,-1,1.23,-0.85,1.23,-0.85
600511,国药股份,1,0,0.24,0.01,0.33,0.01
600750,江中药业,1,0,0.39,-0.20,0.39,-0.21
600309,万华化学,1,0,0.60,0.09,0.60,0.09
300396,迪瑞医疗,1,1,0.76,0.76,0.78,0.78
301059,金三江,1,1,0.36,0.36,1.25,1.25
300918,南山智尚,1,0,0.27,0.13,0.90,0.42
001219,青岛食品,1,-2,0.10,-0.31,0.42,-1.23
301161,唯万密封,1,1,0.14,0.14,0.57,0.57
600829,人民同泰,1,0,0.37,0.11,0.37,0.11
000791,甘肃电投,1,1,0.11,0.11,0.11,0.11
301227,森鹰窗业,1,1,0.58,0.58,2.45,2.45
300002,神州泰岳,1,0,1.19,0.12,1.19,0.12
002788,鹭燕医药,1,1,0.37,0.37,0.37,0.37
301171,易点天下,1,1,0.05,0.05,0.32,0.32
300831,派瑞股份,1,1,0.24,0.24,0.41,0.41
000868,安凯客车,1,1,0.37,0.37,0.37,0.37
002892,科力尔,1,1,0.45,0.45,0.45,0.45
600157,永泰能源,1,0,0.95,-0.19,0.95,-0.19
002087,新野纺织,1,1,0.46,0.46,0.46,0.46
603565,中谷物流,1,-1,0.69,-1.34,2.27,-4.36
300337,银邦股份,1,1,1.20,1.20,1.20,1.20
003041,真爱美家,1,1,0.18,0.18,0.56,0.56
002294,信立泰,1,0,0.53,0.00,0.53,0.00
300726,宏达电子,1,-1,0.70,-0.99,0.70,-1.04
